block_id	seq_id	bin_id	start	end	colour_block
76	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	31490511	31980168	CP020779.1
76	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	33445711	33990347	CP020779.1
83	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	32105347	33966046	CP020779.1
83	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	34536981	36555586	CP020779.1
85	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	33968051	34229567	CP020779.1
85	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	36560600	36854626	CP020779.1
86	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	34249634	34399739	CP020779.1
86	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	36958000	37114771	CP020779.1
87	CP020779.1	GCA_002234715.1_ASM223471v1_genomic.fna	34409828	34602407	CP020779.1
87	CP020665.1	GCA_002234675.1_ASM223467v1_genomic.fna	37196932	37459386	CP020779.1
90	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	4723	365574	CP020780.1
90	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	50492	433040	CP020780.1
95	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	367542	943551	CP020780.1
95	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	817274	1383165	CP020780.1
101	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	1452472	1710520	CP020780.1
101	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	1621219	1843716	CP020780.1
103	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	1748566	2198028	CP020780.1
103	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	1906967	2349056	CP020780.1
105	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	2200317	3957555	CP020780.1
105	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	2351463	4089005	CP020780.1
108	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	3885760	4419193	CP020780.1
108	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	4363402	4833259	CP020780.1
118	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	4903093	5227855	CP020780.1
118	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	5964198	6321571	CP020780.1
124	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	5457605	5919331	CP020780.1
124	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	6711564	7165898	CP020780.1
125	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	5884458	6035588	CP020780.1
125	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	7240283	7373792	CP020780.1
126	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	6037191	6343547	CP020780.1
126	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	7425950	7738165	CP020780.1
128	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	6451871	6788993	CP020780.1
128	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	7832306	8190616	CP020780.1
132	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	7038366	7662997	CP020780.1
132	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	8695847	9383442	CP020780.1
134	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	7703221	7925537	CP020780.1
134	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	9399382	9707825	CP020780.1
137	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	7925603	8166164	CP020780.1
137	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	9825002	10033155	CP020780.1
138	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	8135042	8491732	CP020780.1
138	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	10052290	10403340	CP020780.1
140	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	8513305	9309033	CP020780.1
140	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	10434600	11243305	CP020780.1
141	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	9370548	9683138	CP020780.1
141	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	11243765	11593831	CP020780.1
142	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	9695241	9805088	CP020780.1
142	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	11842297	12004034	CP020780.1
143	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	9824599	9947456	CP020780.1
143	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	12122618	12270146	CP020780.1
145	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	9972916	12805286	CP020780.1
145	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	12284273	15092878	CP020780.1
146	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	13094331	13486541	CP020780.1
146	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	15092988	15477271	CP020780.1
147	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	12810092	13090514	CP020780.1
147	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	15563041	15841130	CP020780.1
148	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	13487614	14749737	CP020780.1
148	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	15847307	17166549	CP020780.1
149	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	14773886	16268639	CP020780.1
149	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	17291736	18824777	CP020780.1
151	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	16269471	16563182	CP020780.1
151	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	18833294	19133291	CP020780.1
153	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	16571078	17184864	CP020780.1
153	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	19139075	19740090	CP020780.1
154	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	17188585	20488177	CP020780.1
154	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	19805476	23193142	CP020780.1
156	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	20488344	21260322	CP020780.1
156	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	23206582	24020598	CP020780.1
157	CP020780.1	GCA_002234715.1_ASM223471v1_genomic.fna	21423780	21621856	CP020780.1
157	CP020666.1	GCA_002234675.1_ASM223467v1_genomic.fna	24101404	24313287	CP020780.1
172	CP020800.1	GCA_002234715.1_ASM223471v1_genomic.fna	27222239	27463561	CP020800.1
172	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	125372	389408	CP020800.1
175	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	154097	319656	CP020781.1
175	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	493745	621971	CP020781.1
177	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	325001	579202	CP020781.1
177	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	792459	1043780	CP020781.1
179	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	582761	1044836	CP020781.1
179	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	1077091	1562305	CP020781.1
185	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	1051568	1203455	CP020781.1
185	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	1855052	1963393	CP020781.1
187	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	1324659	2033894	CP020781.1
187	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	2082983	2828962	CP020781.1
189	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	2269215	2403360	CP020781.1
189	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	2847468	3003392	CP020781.1
191	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	2406233	2730137	CP020781.1
191	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	3021482	3325409	CP020781.1
193	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	2758969	3484251	CP020781.1
193	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	3421711	4223807	CP020781.1
195	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	3497287	4640371	CP020781.1
195	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	4234670	5453947	CP020781.1
198	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	4803731	5879143	CP020781.1
198	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	5589306	6623796	CP020781.1
200	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	5899015	6377254	CP020781.1
200	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	6632887	7128907	CP020781.1
209	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	6484218	7258327	CP020781.1
209	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	7694002	8473774	CP020781.1
211	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	7266085	7654684	CP020781.1
211	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	8479365	8865430	CP020781.1
213	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	7654793	8186369	CP020781.1
213	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	8870395	9358638	CP020781.1
216	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	8281806	10148384	CP020781.1
216	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	9622605	11511653	CP020781.1
218	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	10148754	10379885	CP020781.1
218	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	11517513	11778927	CP020781.1
220	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	10379979	12611747	CP020781.1
220	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	11790311	14087239	CP020781.1
223	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	12687841	22564290	CP020781.1
223	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	14139512	24059824	CP020781.1
229	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	22648449	24562511	CP020781.1
229	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	24136303	26090486	CP020781.1
231	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	24565535	29501996	CP020781.1
231	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	26093232	31036785	CP020781.1
233	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	29504366	33007780	CP020781.1
233	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	31039509	34520445	CP020781.1
237	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	33065477	33426246	CP020781.1
237	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	34575287	34934613	CP020781.1
239	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	33438272	35004554	CP020781.1
239	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	34939051	36556561	CP020781.1
243	CP020781.1	GCA_002234715.1_ASM223471v1_genomic.fna	35011985	35681630	CP020781.1
243	CP020667.1	GCA_002234675.1_ASM223467v1_genomic.fna	37262908	37971782	CP020781.1
246	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	10214	473679	CP020782.1
246	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	57653	579836	CP020782.1
248	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	474640	804739	CP020782.1
248	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	591409	949379	CP020782.1
252	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	824746	1004418	CP020782.1
252	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	977739	1154962	CP020782.1
254	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	1004518	1392442	CP020782.1
254	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	1160097	1598797	CP020782.1
256	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	1469981	1752139	CP020782.1
256	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	1606581	1875777	CP020782.1
261	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	1772927	3561459	CP020782.1
261	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	1987485	3819913	CP020782.1
264	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	3737522	5134485	CP020782.1
264	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	3870917	5268182	CP020782.1
266	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	5136263	5824252	CP020782.1
266	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	5312646	5978153	CP020782.1
267	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	6008261	8924181	CP020782.1
267	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	5979120	8835937	CP020782.1
269	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	8924245	9288919	CP020782.1
269	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	8840907	9196018	CP020782.1
273	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	9325288	10801230	CP020782.1
273	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	9231118	10806826	CP020782.1
275	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	10801462	14046956	CP020782.1
275	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	10810283	14026847	CP020782.1
276	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	14004035	16212945	CP020782.1
276	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	14040249	16213824	CP020782.1
278	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	16215733	16715131	CP020782.1
278	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	16216439	16742596	CP020782.1
280	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	16747573	18002182	CP020782.1
280	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	16778509	18074018	CP020782.1
281	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	18063468	19001989	CP020782.1
281	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	18075066	19002086	CP020782.1
285	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	19156476	20057084	CP020782.1
285	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	19211419	20169355	CP020782.1
286	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	20133042	22816943	CP020782.1
286	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	20180153	22913870	CP020782.1
288	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	22834323	23440955	CP020782.1
288	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	22919641	23570843	CP020782.1
290	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	23473937	24964893	CP020782.1
290	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	23577068	25123569	CP020782.1
293	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	24969335	25437397	CP020782.1
293	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	25656594	26135973	CP020782.1
297	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	25462330	27161036	CP020782.1
297	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	26174678	27847376	CP020782.1
298	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	27164053	30055835	CP020782.1
298	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	27927863	30854740	CP020782.1
299	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	30160822	30780692	CP020782.1
299	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	30857571	31513021	CP020782.1
304	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	30829024	31315764	CP020782.1
304	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	31986890	32464636	CP020782.1
305	CP020782.1	GCA_002234715.1_ASM223471v1_genomic.fna	31323409	31615733	CP020782.1
305	CP020668.1	GCA_002234675.1_ASM223467v1_genomic.fna	32527531	32840506	CP020782.1
312	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	7	186011	CP020783.1
312	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	165536	359375	CP020783.1
313	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	326964	3424002	CP020783.1
313	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	364385	3502419	CP020783.1
315	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	3424029	10110962	CP020783.1
315	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	3507214	10213079	CP020783.1
317	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	10111189	11984589	CP020783.1
317	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	10221477	12215572	CP020783.1
319	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	11984686	24724641	CP020783.1
319	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	12220926	25002136	CP020783.1
322	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	24728500	28462748	CP020783.1
322	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	25078927	28899544	CP020783.1
323	CP020788.1	GCA_002234715.1_ASM223471v1_genomic.fna	22359555	22498851	CP020788.1
323	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	28905627	29071456	CP020788.1
324	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	28472270	29133528	CP020783.1
324	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	29072475	29734446	CP020783.1
325	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	29138576	29380247	CP020783.1
325	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	29813220	30056600	CP020783.1
327	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	29380338	30171314	CP020783.1
327	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	30062373	30872039	CP020783.1
329	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	30173745	30800251	CP020783.1
329	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	31748665	32383346	CP020783.1
331	CP020783.1	GCA_002234715.1_ASM223471v1_genomic.fna	30800286	31424109	CP020783.1
331	CP020669.1	GCA_002234675.1_ASM223467v1_genomic.fna	32390586	33066549	CP020783.1
334	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	999	730200	CP020784.1
334	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	351146	1065211	CP020784.1
335	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	778816	949273	CP020784.1
335	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	1216737	1401759	CP020784.1
339	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	1031288	1326304	CP020784.1
339	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	1502909	1816619	CP020784.1
342	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	1327323	1654745	CP020784.1
342	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	1826964	2205492	CP020784.1
344	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	1684871	1829771	CP020784.1
344	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	2220903	2381146	CP020784.1
346	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	1832377	2394391	CP020784.1
346	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	2586261	3151673	CP020784.1
349	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	2397960	3685162	CP020784.1
349	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	4019825	5336560	CP020784.1
351	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	3687379	4756421	CP020784.1
351	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	5618122	6674921	CP020784.1
353	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	4758078	5034309	CP020784.1
353	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	6693026	6964338	CP020784.1
355	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	5035376	6259347	CP020784.1
355	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	7371394	8595364	CP020784.1
357	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	6267501	6580257	CP020784.1
357	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	8632503	8951535	CP020784.1
359	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	6777917	7124809	CP020784.1
359	CP020670.1	GCA_002234675.1_ASM223467v1_genomic.fna	9035843	9340465	CP020784.1
361	CP020784.1	GCA_002234715.1_ASM223471v1_genomic.fna	7124878	7604274	CP020784.1
